artist_id,artist_name
3148,胡瓜
3210,慧普法师
3166,黄鹤翔
3311,海生
3175,含笑
3261,浩瀚
860039,胡洋
3291,何龙雨
3276,何晟铭
3154,洪荣宏
3158,荒山亮
3426,贺国丰
3142,洪俊扬
1063182,胡欣
3216,郝歌
3124,侯志坚
3101,黄鸿升
11758,花伦
3136,黄蒙拉
3074,杭天
3088,黄家伟
839761,何流
787002,华少
1077005,黄洋
3287,侯宝林
1018008,杭航
3424,黄平
916025,和汇慧
3353,胡小宝
1068009,前后动机直升机组合
3095,黄子华
artist_id,artist_name
1038374,iMoon
956418,InfiniteMusic
1132544,Iceloki
900332,imeatART
1047333,iCsuo
3438,iiiis
1039978,ilham丁丁
1039393,IMAGINE
133386,INK
1031042,ibinbao
1049076,Inspiration Crowd
1031052,Impractical Scraps
1050737,Ilya Ai Wei
1161208,Izumi koga
13707529,IL CANTO
13738116,ins白日说唱家
13430213,Infernal Chaos
12263528,Imc王辰
3445,Intangible Ism
1081840,irevan
11987075,impossibleChuck
1044068,IMCUICUI
11975111,ilem
1083022,iimmune
1039395,IANNE
820494,Inbellum
1000135,"I,Defiance"
233211,INTI
artist_id,artist_name
166014,金志文
3558,蒋明
3535,Jason Chen
3528,靳松
3456,姜育恒
188694,蒋家驹（蒋蒋）
3585,蒋勋
827163,金贵晟
5001,简弘亦
3459,姜玉阳
1106073,贾乃亮
3452,蒋大为
3450,几米
3454,贾鹏芳
3600,江智民
3499,景岗山
1081155,蒋劲夫
3464,江涛
3539,井柏然
3453,蒋志光
3498,金学峰
3536,金培达
3594,蒋山
1047078,江南诚
3537,鞠起
3613,纪晓斌
789380,J-Sleeper性感的拖鞋
3562,金复载
840314,茉莉与年少
5839,解小东
1087229,吉佑社
1156032,靳东
3534,贾鹏新
3451,金城武
3463,江得胜
1085016,贾轶男
12048,Jurat.T.T
905426,金润吉
837204,蒋卓嘉
3515,Jeff李
3519,金科
3504,君君
1015710,江潮
3458,纪佳松
3572,君子
3551,金泽
729003,贾涛
3524,极泷
3541,姜昆
1049408,姜潮
1049100,九阳
3462,吉杰
3526,JR Fog
3563,金久哲
1038349,杰磊
3466,姜鹏
3484,吉中鸣
3489,姜小鹏
3476,江志丰
1081355,Jimmis
3461,江凯文
1039357,简单
1071076,姜贰拾
1038398,纪粹希
3576,金玥
1036002,Jadry
190079,家家
995003,净土Pure Land
3591,甲雍
3530,基地小虎
3482,焦恩俊
3511,蒋月泉
789698,贾杰
3557,贾卿卿
1047010,叫兽易小星
3492,蒋国基
1060009,JIANG.x
3606,简广易
3564,金城
3449,金武林
3532,金木
1011198,江生
3506,金波
3455,季忠平
3549,金韩一
1132606,蒋贡康楚仁波切
1049680,吉克曲布
3578,酒吧伤心人
3518,计镇华
3521,姜洋
747137,Jocey
1039907,金杨
3465,江天
1039055,MC井宁
1046056,井盖儿
1015644,Jasing Rye
3467,蒋才如
3596,金镇
3593,金山
1063007,居来
artist_id,artist_name
1047064,KBShinya
3617,柯有伦
3658,克尔曼
3616,KenT
686006,康康
3627,康康
3654,柯震东
3614,柯受良
862058,卡修Rui
3641,凯撒
991002,柯智棠
1135192,A-Tong
868001,KillerBlood
3640,Kz
3619,孔令奇
3672,柯暮卿
1019172,凯玟桑
1132451,柯大堡
1019155,孔垂楠
1088051,KB
3624,孔祥东
3651,KT
3649,昆虫白
3643,Kositu
1043220,Killazer
1060093,Keyshawn Binean
3660,柯皓燃
3667,BaBur
3621,克里木
1047200,Foobar
3662,轲然
5980,阚立文
911042,康硕Kenny
758285,Karma Kid
3620,孔宏伟
3630,空气球
1161004,开松法师
1039757,孔熙俊
1050531,K_izum
1038242,堪布贝玛千贝仁波切
3665,Orientlic Beats
1079139,卡列宁
3628,康克菲
3635,KuKi.W
1046036,口琴ok
1039553,K'桑
3625,卡卡
994003,开鹏程
222404,卡斯Kas$
961279,孔一兵
1132845,K.邵庄
1038406,KhalilWonger
1099008,KNXER
3644,坤鹏
1043127,康小白
3631,邝祖德
787062,Knife Lee
832242,匡萃龙
1050581,Ray3
3623,康万生
3626,柯羽
818247,阚杰
991229,肯别
3680,亢帅克
3642,康然
3639,恐龙李
935234,K3NT
3646,科尔沁夫
3618,康贤
3657,孔朝
1044036,Kael 鹿帆
999157,Katana_4real
3638,孔锵
3661,开克尔曼尼
3636,Know Hope Collective
3655,孔朝晖
975230,咖啡杯里的茶
1094139,Ken-Ming Yang
1124332,吕先生
1081307,狂奔的萝卜
1132707,Makino
1040055,Kona.Y
3622,康乔
1050484,寇瑞
3670,康梓峰
1049872,Kalen
1050287,King@C AllStar
1049889,凯歌
1084021,KH
1028042,zpan
1041071,空悟
1043285,kico
1069015,杨文博Poe
934041,寇跃
1081974,Koowho
1039049,康斌 
3677,康茜
221857,KuKi
1081026,匡鹏
1081017,苦啤酒
artist_id,artist_name
3684,林俊杰
4292,李荣浩
3681,李志
3695,李健
3699,李克勤
3691,刘德华
3682,老狼
3683,李宗盛
3685,林宥嘉
3694,罗志祥
3765,李易峰
3722,梁汉文
3689,李玖哲
3702,林峯
3692,林志炫
1038093,鹿晗
3693,林海
3706,林子祥
3705,李圣杰
1156241,罗凯楠
3688,刘欢
3697,卢冠廷
3686,罗大佑
4125,骆集益
4393,李代沫
4055,赖伟锋
4015,冷漠
3701,黎明
3698,罗文
4093,李行亮
3715,梁朝伟
3713,刘东明
981141,伦桑
4006,梁晓雪
3690,卢广仲
4130,李玉刚
893267,李琦
166010,梁博
3723,吕方
3798,卢中强
3848,刘允乐
4069,六哲
855488,罗艺恒
4080,刘心
3956,罗家英
961227,廖国钺
816087,李晋
4084,林奕匡
3737,刘畊宏
3687,林一峰
3830,刘鹏
3902,李晓杰
3704,林志颖
3717,李云迪
3762,吕思清
3716,林隆璇
4119,林坤信
3707,郎朗
972029,李玉玺
3700,李泉
3703,李寿全
3789,李逸朗
3732,罗百吉
3735,卢学叡
4079,林育群
3751,刘浩龙
4260,VEEZiE李魏西
4214,龙飞
4037,Lu1
3991,黎允文
4047,李志辉
1047239,流浪的蛙蛙
4032,李建傧
3754,李春波
3747,刘嘉亮
3952,卢小旭
4474,刘明汉
3736,林宇中
3827,李琛
3776,陆毅
3793,陆虎
4188,刘佳
3772,雷诺儿
3924,林汉洋
3733,李延亮
3718,刘文正
784451,李祥祥
861282,李剑青
3734,罗嘉良
1041090,林一杰
4031,李治廷
3812,刘可
3933,林友声
3711,李泰祥
3834,廖文强
3752,李维
3884,Lawrence
4089,李炜
3767,李茂山
3841,梁家辉
artist_id,artist_name
4592,马頔
4483,麦浚龙
4479,MC Hotdog
12413,慕寒
4480,马条
1050611,M-PHOTOS
4569,麦振鸿
896927,莫西子诗
4486,毛宁
4485,马天宇
4619,马旭东
4488,满文军
188141,满舒克
842005,马飞
1156176,孟可
1041010,买尔旦
1049093,MILLAN
1043199,MC-5
1039223,麦吾兰江
4489,MC仁
4538,马常胜
4651,马博
816093,茉莉僧
826336,马雨阳
4481,满江
4527,马上又
4552,毛毛
1039663,Mc苏刚
4490,马浚伟
4607,马丁
4576,毛方圆
12314,先知歌者麦子
1041122,Mr.岑
896274,mAjorHon
792162,M80
4621,闫东炜
858161,马潇
1049850,MC张凯
817036,蒙面哥
1112008,Mr.Cali
4496,麦子杰
1038405,Mc koz
1178126,mc小洲
187903,Mc光光
4561,马三立
1050352,Madsam
189932,猫饭
1044174,MC人皇
1132392,马思唯
4590,马健涛
4596,蒙克
4578,莫染
1064006,马铭远
571797,chill boy
894087,马季
4513,馒头
4551,Mr.Trouble麻烦先生 
1047242,毛晖
4558,马洪波
4573,Masta Mic
4508,马德钟
1124053,缪培琪
1050345,Mc蛋蛋哥
4606,马连良
4533,马海生
1132719,Mardan
4494,马兆骏
4548,梅兰芳
896782,苗阜
4501,马可
1044031,MC腐朽
4492,马念先
1038128,Mc
4568,马志明
1063055,Merdan Ablikim
1049762,慕滨阳
1043170,Mc冰鑫
1043482,mAd-Noisy
1105059,方仔Rich John
4630,马健南Kennan
954100,木子烁
1038238,Mario
1039286,Mc张飞
4521,莫华伦
4542,明圣凯
1115085,Mc狼君
1038337,M2U
4564,马力
1008007,莫爱河往生
832643,苗小青
1049174,慕斯の小乖
1094191,明仔
1081643,Miles Okin
4532,马闯
227310,麦莎乐队
1041135,MC伊龙
1049997,韩彬农James
4582,MC Banana
1049168,MuSik I
1071078,默罕默丹
artist_id,artist_name
190349,NL不分
4672,倪安东
1049392,宁夏
980113,宁桓宇
804367,南城二哥
4662,南风
990051,泥鳅Niko
4678,南宫嘉骏
985227,南风ZJN
1027039,暖场小粽子
1019301,宁林
1001005,牛牛
4666,聂禹
1057144,嫩桃弟弟
1050258,Nayim.Nabi
4673,嫩桃
1000103,柠檬树
4667,聂琳峰
1019357,Nacid
1039297,NEMY金属怪兽
1039572,南山雨林
4660,钮大可
4686,南卓仁波切
4677,宁峰
4665,牛朝阳
1039882,Nellee
4669,糯米
935138,倪力
1040026,NO.59
1044122,南味SOUTHFEEL
1039680,南涩雨
1039848,Nano33号
4656,牛建党
1058125,N2V
1043403,南骧书戎
1041003,泥丸
1053166,南玛子呷
